mes,municipio,repasse_sefaz,repasse_liquido_sefaz,fundeb_sefaz
Março,Chorozinho,976123.15,780900.26,195222.89
Março,Choró,1132618.66,906095.65,226523.01
Março,Coreaú,1066670.37,853337.85,213332.52
Março,Crateús,1476394.73,1181116.9,295277.83
Março,Crato,3672624.22,2938100.6,734523.62
Março,Croatá,913829.85,731065.29,182764.56
Março,Cruz,1297858.8,1038288.25,259570.55
Março,Deputado Irapuan Pinheiro,1032820.6,826258.04,206562.56
Março,Ererê,1089171.16,871338.11,217833.05
Março,Eusébio,9155074.11,7324060.01,1831014.1
Março,Farias Brito,898997.11,719199.08,179798.03
Março,Forquilha,1483667.67,1186935.14,296732.53
Março,Fortaleza,99505879.03,79604451.69,19901427.34
Março,Fortim,1300182.44,1040147.32,260035.12
Março,Frecheirinha,1282744.94,1026197.59,256547.35
Março,General Sampaio,871292.79,697035.68,174257.11
Março,Granja,991732.17,793386.96,198345.21
Março,Granjeiro,699200.16,559362.17,139837.99
Março,Graça,990247.54,792199.39,198048.15
Março,Groaíras,897118.3,717696.22,179422.08
Março,Guaiúba,859873.68,687900.86,171972.82
Março,Guaraciaba Do Norte,1095876.05,876701.93,219174.12
Março,Guaramiranga,752189.62,601753.32,150436.3
Março,Hidrolândia,924191.36,739354.69,184836.67
Março,Horizonte,7027850.05,5622279.22,1405570.83
Março,Ibaretama,899458.6,719568.35,179890.25
Março,Ibiapina,928575.67,742862.38,185713.29
Março,Ibicuitinga,1061915.16,849534.13,212381.03
Março,Icapuí,3322370.28,2657896.52,664473.76
Março,Icó,1238795.43,991037.51,247757.92
Março,Iguatu,2900861.38,2320689.76,580171.62
Março,Independência,922298.79,737839.99,184458.8
Março,Ipaporanga,997101.63,797682.47,199419.16
Março,Ipaumirim,1072469.7,857977.32,214492.38
Março,Ipu,924734.31,739788.84,184945.47
Março,Ipueiras,1095294.74,876236.91,219057.83
Março,Iracema,1042393.57,833916.07,208477.5
Março,Irauçuba,897538.32,718031.94,179506.38
Março,Itaitinga,4998577.38,3998862.92,999714.46
Março,Itaiçaba,941593.65,753276.4,188317.25
Março,Itapajé,1016940.98,813554.76,203386.22
Março,Itapipoca,2580228.29,2064183.06,516045.23
Março,Itapiúna,808712.36,646971.55,161740.81
Março,Itarema,1712414.5,1369933.18,342481.32
Março,Itatira,1078174.58,862541.03,215633.55
Março,Jaguaretama,1016986.11,813590.89,203395.22
Março,Jaguaribara,915654.95,732525.6,183129.35
Março,Jaguaribe,1424552.82,1139643.5,284909.32
Março,Jaguaruana,1420894.44,1136716.88,284177.56
Março,Jardim,731829.16,585464.58,146364.58
Março,Jati,661170.49,528938.11,132232.38
Março,Jijoca De Jericoacoara,1397316.43,1117854.14,279462.29
Março,Juazeiro Do Norte,6903050.02,5522440.89,1380609.13
Março,Jucás,1141849.63,913480.95,228368.68
Março,Lavras Da Mangabeira,802973.96,642381.06,160592.9
Março,Limoeiro Do Norte,3192656.34,2554126.44,638529.9
Março,Madalena,1168247.48,934599.3,233648.18
Março,Maracanaú,25983150.35,20786521.2,5196629.15
Março,Maranguape,3073911.4,2459130.06,614781.34
Março,Marco,1153477.87,922783.64,230694.23
Março,Martinópole,906701.6,725362.68,181338.92
Março,Massapê,1197319.11,957856.59,239462.52
Março,Mauriti,1007348.24,805879.84,201468.4
Março,Meruoca,975320.94,780258.55,195062.39
Março,Milagres,754615.34,603694.56,150920.78
Março,Milhã,1367570.15,1094057.22,273512.93
Março,Miraíma,729074.67,583261.49,145813.18
Março,Missão Velha,908347.04,726679.07,181667.97
Março,Mombaça,1117931.26,894346.47,223584.79
Março,Monsenhor Tabosa,830658.96,664528.95,166130.01
Março,Morada Nova,2902504.46,2322004.42,580500.04
Março,Moraújo,945870.64,756698.1,189172.54
Março,Morrinhos,1070734.47,856589.0,214145.47
Março,Mucambo,990729.85,792584.99,198144.86
